bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	spikes_num	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-101_ses-02_task-movie_bold	0.001735333333333333	0.008463825666666666	0	18.50806413139665	1.1640856322905024	0.9218251360335197	0.39692858396580954	311854.6875	0.09633164235502184	5	2.7777777777777777	2.6523966666666667	2.5937066666666664	2.9731233333333336	2.3903600000000003	0.0187736	-0.008975078351795673	0.012654474005103111	180	80	80	32	4.566418670023787	2.0	3.0	3.0	3.5	0	182.44514051787624	1.9820382595062256	17.16775131225586	2.0080223083496094	134770.0	0.1129037879407406	81.82698097229004	62.458621978759766	1.4170863529848416	231.1467742919922	1198.7855224609375	1194.190185546875	33078.0	780.7550354003906	1616.8478088378904	261.5117492675781	60.11891174316406
sub-102_ses-01_task-movie_bold	0.001465	0.019790415555555555	0	13.911351273184355	0.8819823168715089	0.8259713138547482	0.3670212436615159	358837.6875	0.12269028948052413	17	9.444444444444445	2.698576272530088	2.6762197873131606	3.04691	2.3725990302771036	0.0158022	-0.009730699472129345	0.0057380530051887035	180	80	80	32	5.4969648090650685	2.0	3.000000238418579	3.0	3.5000014305114746	0	99.80632499750806	1.8890234231948853	13.065840721130371	1.8469256162643433	140773.0	0.05294753238558769	69.10935668945308	44.690391540527344	2.6083985841843527	180.484375	1151.731201171875	1152.372314453125	28008.0	814.8039947509767	1460.94228515625	209.63418579101562	44.145660400390625
sub-103_ses-01_task-movie_bold	0.0005308333333333334	0.0023844011666666665	0	18.463519288547488	1.2773281824022344	0.982962713072625	0.4226553259419797	333611.25	0.15638082088603475	34	18.88888888888889	2.659697936507937	2.6543966666666665	2.9790200000000002	2.345677142857143	0.0454195	-0.004764101468026638	0.01011175848543644	180	80	80	32	4.659823161260911	2.0	3.0	3.0	3.5	0	67.01687066247251	1.7646093368530273	17.0208740234375	1.9181660413742065	129838.0	0.1888051062822342	91.07814865112297	53.48026657104492	2.090488265419352	217.50726318359375	1168.9822998046875	1168.756103515625	37391.0	780.4509582519531	1554.8125610351562	250.81219482421875	97.999755859375
sub-104_ses-01_task-movie_bold	0.0007050000000000001	0.002643459	0	19.396309506145244	1.2503339469273738	0.9847035658659222	0.39505325328735835	274541.9375	0.15307955386379044	33	18.333333333333332	2.857909682539683	2.86795	3.208073333333333	2.4977057142857144	0.0292453	-0.008444658480584621	0.010685442015528679	180	80	80	32	4.402269954294032	2.0	3.0	3.0	3.5	2	81.16769936211044	2.0307109355926514	15.965811729431152	2.0868399143218994	135279.0	0.09563681408762932	83.80876541137692	49.96274948120117	2.2270988732722232	207.7237548828125	1167.159912109375	1153.97900390625	32532.0	769.7801818847656	1583.7710144042967	262.1286926269531	95.56295013427734
sub-105_ses-01_task-movie_bold	0.0007123333333333334	0.0036311950000000007	0	17.878877187039105	1.1612514998324024	0.971117309832402	0.36882105470781906	342153.0625	0.15657500566916674	23	12.777777777777779	2.5727058730158734	2.557873333333333	2.8719300000000003	2.2883142857142857	0.0312102	-0.010838424786925316	0.007755002938210964	180	80	80	32	4.998324407811282	2.0	3.0	3.0	3.5	0	208.13378846698674	2.0627214908599854	18.69308090209961	2.4042272567749023	140699.0	0.19088519960641864	87.33329162597661	73.86477661132812	2.0840988936386484	265.9686584472656	1481.1314697265625	1478.4039306640625	28674.0	1037.2282836914064	1935.7503845214842	295.7747497558594	85.7064208984375
sub-106_ses-01_task-movie_bold	0.008374055555555556	0.006998909444444444	0	22.96244274424581	1.27294471547486	1.0419238986033523	0.46224340526014873	177084.109375	0.17628321596010715	30	16.666666666666668	2.6401012698412702	2.56678	2.9459666666666666	2.407557142857143	0.0689703	-0.006380691193044186	0.022437116131186485	180	80	80	32	4.8631514392826345	2.0	3.0	3.0	3.5	3	69.9322145414061	2.3892807960510254	24.861148834228516	2.5189719200134277	124258.0	0.32952879071235663	154.6135025024413	72.44878387451172	2.1654631639205757	197.32554626464844	1121.830322265625	1112.185791015625	42610.0	794.0890686035157	1491.648419189453	228.69383239746094	59.64565658569336
sub-107_ses-01_task-movie_bold	0.003449944444444444	0.008247841277777779	0	25.36679163424581	1.4136822855307265	1.010510099832402	0.4656505669818078	195149.046875	0.1293421586811926	7	3.888888888888889	2.5783155555555552	2.51841	2.8938966666666666	2.32264	0.0303318	-0.006273703649640083	0.018626252189278603	180	80	80	32	4.76742554997823	2.0	3.0	3.0	3.5	0	38.54210304194021	2.6615099906921387	22.316312789916992	2.826303005218506	121990.0	0.3299418166279793	131.87100067138658	61.36125564575195	1.7162813267477768	241.8046112060547	1311.44921875	1321.351806640625	43947.0	854.6743041992188	1739.7639038085936	277.1593933105469	58.65612030029297
sub-108_ses-01_task-movie_bold	0.0032215	0.00582332838888889	0	20.553311161843578	1.4270848764245812	0.9926152659776535	0.41588736414199534	262044.546875	0.08045360108153371	0	0.0	2.579958253968254	2.657226666666667	2.8515766666666664	2.2310714285714286	0.0183429	-0.0044822911731898785	0.010843322612345219	180	80	80	32	4.8520040269440985	2.0	3.0	3.0	3.5	0	131.76507207953063	2.165863275527954	18.285661697387695	2.1464123725891113	131675.0	0.16027172207832335	88.1348205566406	61.578773498535156	2.394294877770146	200.73867797851562	1148.717041015625	1153.1470947265625	35329.0	777.4278076171875	1509.0682128906246	237.6607208251953	74.3912353515625
sub-109_ses-01_task-movie_bold	0.0010065555555555557	0.004549052166666667	0	16.546827412290508	1.138078245195531	0.9441150606145254	0.4003738142870853	260920.8125	0.09329850274455437	11	6.111111111111111	2.863300952380952	2.963513333333333	3.174606666666667	2.451782857142857	0.0442188	-0.0015395473456010222	0.002859335159882903	180	80	80	32	4.746802497904151	2.0	3.0	3.0	3.5	0	77.54778747825524	2.613867998123169	19.722749710083008	2.377628803253174	134503.0	0.04278644360601902	100.71256713867162	63.37445831298828	2.82385249698757	202.3460693359375	1252.2271728515625	1282.98486328125	32614.0	720.0197021484375	1609.149969482422	270.2798767089844	75.04328155517578
sub-110_ses-01_task-movie_bold	0.02252822222222222	0.009216752333333335	0	20.616364670670407	1.21800912055866	1.0428264541899441	0.4130730668222459	217057.703125	0.1685808803864391	18	10.0	2.617048412698413	2.5887366666666667	2.92248	2.3399285714285716	0.0288017	-0.003581030759960413	0.00789171364158392	180	80	80	32	4.887195948039615	2.0	3.0	3.0	3.5	39	56.84686318714273	2.5640666484832764	17.005754470825195	2.8319759368896484	132041.0	0.12899965047836304	91.961669921875	50.245243072509766	2.7535662545230624	222.95201110839844	1372.5255126953125	1375.520263671875	35816.0	918.6271514892578	1808.3385314941406	281.449951171875	58.1639289855957
