bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-201_T1w	0.39684145673572546	3.2612109101806195	0.571048587809366	2933.302734375	3.315933333333333	3.3756	3.43579	3.13641	0.17874001086238347	0.41605023449438755	0.40520975464322895	0.975453794002533	0.23141002655029297	0.0	0.01547779084863071	33.519826823579876	15.951779123480634	20.143371425168937	192	256	256	2.485515215754238	10.074138408922725	12.743446158179657	25.670684849862006	26.18465631938219	56.60860132526169	53.44378115750654	77.53808582787575	1.0	1.0	1.0	3.8565097515591935	8.449052810668945	10.844648361206055	8.897311210632324	2044631.0	0.0	28.236181259155273	9.024832725524902	-0.31634538876437235	158.58103942871094	360.374755859375	337.6938781738281	9381.0	181.5700225830078	585.283447265625	135.8574981689453	0.07707569580915807	70.27357482910156	730.6160888671875	730.060302734375	20821.0	611.678466796875	852.5896606445312	72.4670181274414	0.5662419462226884	36.84181594848633	999.8432006835938	999.9801635742188	218689.0	936.107861328125	1063.12890625	38.954078674316406	0.2376336306333542	0.510895848274231	0.5835462212562561	0.5124247503573391
sub-202_T1w	0.4609954342498331	2.956624261809053	0.5836649498569128	3635.84326171875	3.196543333333333	3.3039	3.33155	2.95418	0.1855854575456365	0.44916860903269445	0.36524593342166906	1.01082181930542	0.2911903500556946	0.0	0.06004739676900783	33.28130979150312	15.267584647730187	21.953086900539247	192	256	256	2.4375054454173104	9.508799750985908	10.411327736600155	19.287678013397244	32.62766302025922	77.31724818434179	72.14371103489367	106.48622190008001	1.0	1.0	1.0	3.1282209156196235	6.152358531951904	9.891752243041992	7.992596626281738	2192776.0	0.0	25.085071563720703	8.069462776184082	0.06155805998172914	122.73766326904297	334.909423828125	306.405029296875	8164.0	173.93054275512694	567.696875	125.69664764404297	-0.1076034205570453	76.88465118408203	729.6039428710938	726.0830688476562	18919.0	608.1098571777344	860.7359741210937	76.35704803466797	0.40993076481801793	49.393348693847656	1000.36572265625	1000.0076904296875	172165.0	916.1296875	1086.1927490234375	51.84682083129883	0.23559705913066864	0.5188086032867432	0.5618014335632324	0.5326257422342285
sub-203_T1w	0.45417588884678417	2.9128083176921336	0.6096262180377671	4232.478515625	3.29424	3.33074	3.50378	3.0482	0.18564932639176726	0.4350982163836095	0.3792524572246232	1.1129255294799805	0.35739006996154765	0.0	0.010282174644544284	28.214597218050375	13.310788828900314	18.07903298571949	192	256	256	3.0734445902815217	9.30622607811544	10.26199208337516	18.40630558172852	49.528349369030295	80.2199052733836	80.24419774764793	110.9843386005299	1.0	1.0	1.0	4.898985882154475	5.902968883514404	9.508211135864258	7.701407432556152	2266447.0	0.0	25.838264274597165	8.511215209960938	-0.3678904478481537	162.7848663330078	436.4481506347656	446.2648010253906	12456.0	201.16167449951172	655.5882263183594	145.1943817138672	0.2534615009130796	74.51669311523438	729.098388671875	722.8046264648438	24823.0	612.478857421875	867.9350952148437	77.66736602783203	0.43829289406756455	51.3792610168457	999.628173828125	1000.0010986328125	219209.0	909.3352783203126	1088.15478515625	54.32914352416992	0.21458831429481506	0.5109847784042358	0.5535351634025574	0.4968327792982333
sub-204_T1w	0.41003416349994326	3.1256481795904874	0.5673338970253258	4451.34326171875	3.212266666666667	3.23501	3.44226	2.95953	0.18594185794521167	0.40914316038577475	0.4049149816690136	1.085205316543579	0.3037494391202926	0.0	0.0509215507229164	33.634181166961106	16.361864004429464	20.246580262512882	192	256	256	2.6190545729969084	9.363685163072153	11.19647814094448	21.60669468676438	36.843699990402996	78.67132368274517	74.98886828554626	109.45158118349062	1.0	1.0	1.0	3.2041933899327413	5.98562479019165	9.274734497070312	7.132693767547607	2323225.0	0.0	24.141979598999022	7.815086841583252	13.373070912449588	127.35310363769531	354.654052734375	336.620849609375	11895.0	182.6148223876953	563.6087341308594	128.522216796875	0.18173566521820872	72.17916870117188	721.0400390625	718.777099609375	12754.0	597.3712677001954	852.6568298339844	76.75919342041016	0.6288453341997728	43.13165283203125	1000.1400756835938	999.9995727539062	203811.0	924.71923828125	1076.0531616210938	46.28181838989258	0.2372564673423767	0.5020400285720825	0.5822831988334656	0.5143392545386754
sub-205_T1w	0.4195626447513624	3.093097109017761	0.5899678074886312	6495.2080078125	3.1901399999999995	3.26082	3.37233	2.93727	0.1749314066514612	0.43546781277246555	0.3896007805760733	1.0168120861053467	0.34544916450977325	2.728850144414648e-06	0.07361096876970302	31.96430077624789	14.209421593800945	18.667599704413643	192	256	256	2.488059762173105	9.791674167256277	10.202271085809038	18.327079327997733	33.17342594365848	72.83406275915841	69.22048565766492	101.65396827017788	1.0	1.0	1.0	5.881903743884838	6.444780349731445	9.129379272460938	7.928165435791016	2335483.0	0.0	25.420397949218746	8.369844436645508	1.5068677265267416	124.71703338623047	355.7206115722656	326.3373107910156	11935.0	192.29385986328126	597.1196777343749	131.15586853027344	0.4401859900485823	68.07545471191406	720.673583984375	716.4913330078125	19856.0	606.35107421875	850.3145751953125	73.17168426513672	0.5269504124190552	50.874908447265625	998.8441162109375	1000.001708984375	213820.0	906.6790191650391	1086.092706298828	54.56403350830078	0.24048595130443573	0.51267009973526	0.5720546245574951	0.49716900200844216
sub-206_T1w	0.4396181771932418	2.9042316800483734	0.565716904510657	3029.53857421875	3.1642833333333336	3.25874	3.2908	2.94331	0.20067294046883835	0.4298506615574535	0.3694763979737082	1.3161756992340088	0.3720290958881376	0.0	0.004389807857260299	30.8782024058784	15.315636568743118	20.97423294783056	192	256	256	3.0018573026222026	10.05865736642718	10.317116493700485	17.890834812052073	31.848750838688932	60.19604272301598	58.1389232697897	82.37197624766421	1.0	1.0	1.0	21.50649710181156	7.953420162200928	14.230124473571777	9.647497177124023	3192476.0	0.0	41.06257438659668	13.815500259399414	-0.39265652288793396	143.30111694335938	395.9035949707031	386.64697265625	12560.0	204.54179992675782	611.8820068359374	128.79745483398438	0.4657130297873535	65.86553955078125	735.89404296875	730.785888671875	12204.0	625.0038360595703	867.6123260498047	72.64945220947266	0.568053430405413	52.48759460449219	999.5721435546875	1000.00390625	184109.0	906.7361694335937	1089.8316162109375	55.89460754394531	0.22487348318099976	0.5110839605331421	0.5684723258018494	0.4720366340788849
sub-207_T1w	0.3806186185358573	3.404921550932507	0.5278534072438213	5916.91455078125	3.293886666666667	3.40275	3.49977	2.97914	0.18721116938021176	0.43427800868501737	0.3785108219347708	1.068268060684204	0.29068458378314965	2.5148007722192884e-05	0.034613594730110483	32.92118207144249	15.52638072664697	21.310036342828337	192	256	256	3.392478729240896	9.294059392365009	11.347298272782053	21.35535669674025	53.727040233580965	88.11277949261228	89.37690739006888	126.29090244401341	1.0	1.0	1.0	4.6192766307257385	5.187503814697266	8.277518272399902	6.512936592102051	3197336.0	0.0	22.39457654953003	7.40939474105835	10.939716977096685	132.3466796875	407.66949462890625	425.42169189453125	11665.0	204.8054656982422	579.4255615234375	125.39605712890625	0.2257129882671398	71.63328552246094	701.4703369140625	697.6950073242188	15065.0	582.1524169921875	833.0957885742187	75.0664291381836	0.6903613294479372	43.42855453491211	998.8378295898438	999.9971923828125	179671.0	919.5426635742188	1073.18994140625	46.82639694213867	0.21748259663581848	0.5135589241981506	0.5567237734794617	0.5009994032743563
sub-208_T1w	0.38658345466776634	3.3307280119127	0.5926348763330711	4739.25048828125	3.1984133333333333	3.28469	3.30579	3.00476	0.19937439034298537	0.42677330903178506	0.37385230062522956	1.0381057262420654	0.31998096704483026	0.0	0.005419189831038691	30.90781377849301	15.479686436004338	21.064631032120246	192	256	256	2.7027767824710516	9.974131986590915	10.822693869224736	19.79117283861224	40.03680514014964	82.53209253809723	79.68162186517397	116.47596791727501	1.0	1.0	1.0	4.378740006303884	5.624640941619873	8.6804838180542	7.037848949432373	2018661.0	0.0	22.815467834472656	7.475632190704346	-0.012104375591494243	134.48696899414062	364.00732421875	343.7340087890625	11440.0	187.50905075073243	583.1913085937499	127.17253875732422	0.3076219679971719	66.02900695800781	712.44677734375	708.5751953125	16007.0	599.1919921875	838.1825500488279	71.03907012939453	0.633084716494897	46.6304817199707	997.8690185546875	999.9986572265625	177872.0	910.8273986816406	1077.026953125	50.527366638183594	0.22401583194732666	0.5018389225006104	0.5568886399269104	0.4765300399221737
sub-209_T1w	0.43428521061605885	2.930626096004474	0.6174355132108773	5351.923828125	3.4459400000000002	3.51016	3.60075	3.22691	0.2097138520819294	0.4102451697365405	0.3800409781815301	1.0312496423721313	0.29146740436553964	0.0	0.02279425147525451	23.744973583239442	12.658980042081179	16.899922671144168	192	256	256	3.419739263550467	9.022592347246666	11.777260856128878	22.889450957589503	59.04143006800717	98.99892936564228	97.89425563584291	135.64240747387927	1.0	1.0	1.0	3.3344117780817806	4.829865455627441	8.182600021362305	6.299981117248535	1913669.0	0.0	21.291256713867185	6.7449445724487305	-0.19743937946945422	133.35787963867188	419.46844482421875	435.2714538574219	22729.0	203.9105438232422	603.7802856445312	127.27925872802734	0.3300670042165508	76.25279998779297	735.25634765625	729.850341796875	22116.0	611.9375915527344	878.756103515625	80.88959503173828	0.6674892964137622	41.06800842285156	999.9134521484375	999.9972534179688	243533.0	928.7091674804688	1070.59296875	43.68803787231445	0.21835215389728546	0.4965004622936249	0.5570507049560547	0.4928843522887609
sub-210_T1w	0.34591761220167205	3.774417791277634	0.548384041048025	3612.8818359375	3.250913333333333	3.36084	3.35066	3.04124	0.17619069755781325	0.45605262712441286	0.3677566753177739	1.0123984813690186	0.29137618839740753	2.6581837693577487e-06	0.0417110232454974	39.35952883318292	17.407333350101027	25.042793036007822	192	256	256	2.1700910528347697	11.650285870708567	11.456402708403317	20.548831201666612	34.4713023737507	69.13363659663689	67.22866395596925	98.08105289752015	1.0	1.0	1.0	3.933510121828901	6.679537773132324	11.164463996887207	8.22755241394043	2437420.0	0.0	28.791156578063955	9.266969680786133	13.440239316765108	148.3695831298828	382.8002014160156	351.4571533203125	6096.0	196.20042037963867	621.9213104248047	161.94174194335938	0.31682978689745456	57.04082489013672	704.7596435546875	704.8619995117188	16543.0	605.46015625	806.1619323730469	60.49986267089844	0.6504388918033963	45.052459716796875	998.2584838867188	999.9995727539062	151336.0	914.3936157226562	1074.5044860839844	48.66438674926758	0.22563670575618744	0.5254138708114624	0.562341034412384	0.5299989748575044
