bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	spikes_num	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-201_task-movie_bold	0.0008303529411764707	0.012213602705882351	0	29.407075272130154	1.0782396408875743	0.9930671981656801	0.5146563013613659	1712.1407470703125	0.07053819045494707	5	2.9411764705882355	2.2216566641861966	2.110667262636472	2.4986928109879285	2.055609918934189	0.0171137	-0.001743326778523624	0.01686534285545349	170	66	66	38	5.041637433851854	2.0	3.1212120056152344	3.1212120056152344	3.4100000858306885	0	93.66304067233435	7.639762878417969	19.9266357421875	13.288235664367676	93077.0	5.394117832183838	52.505882263183594	26.01612091064453	3.4762968381538766	83.59699249267578	574.0759887695312	574.1029663085938	37668.0	390.59764556884767	744.9291290283204	113.87081146240234	44.74496841430664
sub-202_task-movie_bold	0.0011757142857142856	0.011827712171428573	0	30.724535745114956	1.0728098824712644	1.010163092413793	0.5208473420812536	1281.7171630859375	0.09984253691318301	7	4.0	2.3222028426067585	2.2150465868906037	2.628040000244437	2.1235219406852344	0.0104123	0.0003042813332285732	0.021255509927868843	175	66	66	38	4.625941680457627	2.0	3.1212120056152344	3.1212120056152344	3.4100000858306885	1	33.58169275445765	8.488957405090332	25.333045959472656	13.800000190734863	96309.0	5.71999979019165	89.6114273071289	35.595497131347656	3.2923641088490028	72.55851745605469	503.5509033203125	512.9771118164062	35190.0	290.133984375	652.3060119628906	110.88981628417969	43.132755279541016
sub-203_task-movie_bold	0.0029396571428571424	0.013198104571428573	0	30.110827238045978	1.0985773474137936	1.0330948764367816	0.5647005024916815	1379.01953125	0.10596816352791917	8	4.571428571428571	2.2355833877400157	2.0537834965533808	2.5108266666666665	2.14214	0.0103767	-0.0054555325768888	0.04079341143369675	175	70	70	37	5.612095425557987	2.0	2.999999761581421	3.0	3.0	1	40.02462037056061	8.099244117736816	27.744388580322266	13.119999885559082	96949.0	5.377142906188965	95.27885589599545	45.53974533081055	4.59425935613634	71.41059112548828	505.8055114746094	509.7657165527344	47025.0	365.4468505859375	631.2925537109375	90.83243560791016	44.3927001953125
sub-204_task-movie_bold	0.0009896	0.0122750112	0	30.104682626379308	1.0484697983908047	0.9897700598275859	0.5306323096102684	1598.2481689453125	0.19360593784472316	77	44.0	2.2075943868644194	1.9902366666666669	2.4589733333333332	2.1735731605932584	0.00687521	0.00038977927761152387	0.02383303828537464	175	70	70	37	5.2528322811665795	2.0	3.0	3.0	3.000000238418579	0	42.820106460154115	7.10801887512207	22.342723846435547	13.50857162475586	101743.0	5.120571327209475	64.0971450805664	33.2020263671875	3.077962203586975	87.48204040527344	565.7035522460938	561.3543090820312	43107.0	414.77256164550784	732.3337158203125	106.86573791503906	44.23500061035156
sub-205_task-movie_bold	0.0009550285714285715	0.011783320285714284	0	33.13598909068966	1.1353110766091954	1.0123838954022992	0.5557791196866892	1619.417724609375	0.12406422871715538	10	5.714285714285714	2.1660144489628568	1.9801901573713745	2.4086935247590957	2.1091596647580997	0.00554192	0.0025945669040083885	0.02504553273320198	175	70	70	37	5.445508556671576	2.0	2.999999761581421	2.999999761581421	3.000000476837158	0	37.7491794095147	6.320120811462402	22.255884170532227	11.8628568649292	96841.0	5.1028571128845215	76.3028564453125	33.97725296020508	3.7492294269862825	69.55523681640625	495.9210510253906	494.3028564453125	47404.0	364.88086090087893	635.5034088134765	90.77162170410156	47.21196365356445
sub-206_task-movie_bold	0.0007999999999999999	0.01633509827586207	1	30.842555724046253	1.0584646778612707	0.9938870241618502	0.5392478221160562	1467.4642333984375	0.13453084165169898	18	10.344827586206897	2.259288888888889	2.1250533333333332	2.4910633333333334	2.16175	0.00281553	0.006892654113471508	0.01834479160606861	174	70	70	37	5.677939492890965	2.0	3.0	3.0	3.0	0	45.69887350270613	6.254195690155029	19.520153045654297	11.132184028625488	100270.0	4.908045768737793	52.604023551940784	31.017927169799805	4.175410772118846	62.26929473876953	441.9745178222656	442.637939453125	44127.0	326.4551666259766	554.2626220703124	77.95661163330078	41.352596282958984
sub-207_task-movie_bold	0.0005879428571428572	0.009390426342857144	0	31.799237415459782	1.0938502210344825	1.0040681597126435	0.5238523030337527	1508.164794921875	0.12314638115389126	6	3.4285714285714284	2.312305371790035	2.154803162084964	2.6104031258771316	2.1717098274080096	0.00814072	0.006227185484021902	0.026312638074159622	175	70	70	37	4.9192982426150085	2.0	3.000000238418579	3.000000238418579	3.000000238418579	0	47.14198437351777	8.649923324584961	24.80411720275879	14.474285125732422	103124.0	5.028571605682373	71.85713958740234	37.79093933105469	3.582091035779424	94.66629028320312	578.85400390625	589.1085815429688	41173.0	375.62626953125	738.886865234375	119.75314331054688	45.638877868652344
sub-208_task-movie_bold	0.014096379310344829	0.025494404999999998	1	40.43860483976878	1.1258369426011559	1.117730946184971	0.5495825350154531	1139.504150390625	0.21313799885635856	57	32.758620689655174	2.15636877935323	2.02089	2.3808000000000002	2.0674163380596897	0.0136176	0.004700189922004938	0.035796716809272766	174	70	70	37	4.900814275037642	2.0	3.0	3.0	3.000000476837158	5	31.366023584671424	9.935138702392578	30.06696128845215	15.160919189453125	101255.0	5.235631942749023	98.23333053588854	48.648624420166016	2.322021059610006	99.87113952636719	536.0330200195312	535.2155151367188	43744.0	385.6962646484375	702.2402374267577	109.20825958251953	26.600017547607422
sub-209_task-movie_bold	0.0009164	0.012884414228571426	0	32.89317809597701	1.0546604440229885	1.0043945283333335	0.5674687731342888	1282.3489990234375	0.182575271971327	60	34.285714285714285	2.361105973057803	2.15464	2.6772233333333335	2.2514545858400745	0.00574565	0.01658497005701065	0.021381258964538574	175	70	70	37	4.762257698552982	2.0	3.0	3.0	2.9999983310699463	0	33.21011083358552	8.904084205627441	26.802658081054688	14.880000114440918	94496.0	5.9828572273254395	86.22142601013184	38.680030822753906	3.3964345908239055	86.42302703857422	549.2308959960938	559.6228637695312	49086.0	321.6128616333008	703.0785827636719	117.51089477539062	40.24109649658203
sub-210_task-movie_bold	0.0008831428571428573	0.013038465714285716	0	28.17720680655173	1.098739108735632	1.009003587298851	0.48740211974360936	1776.205810546875	0.0774776731986984	1	0.5714285714285714	2.330677777777778	2.1743366666666666	2.51693	2.3007666666666666	0.0092661	-0.001543019083328545	0.014608264900743961	175	70	70	37	5.873002957693294	2.0	3.0	3.0	3.0	0	84.02602150453788	5.591529369354248	18.31412124633789	11.65142822265625	111150.0	5.619714164733891	46.82857131958008	27.04734992980957	5.760935122854837	62.303184509277344	500.6480407714844	507.1428527832031	35344.0	364.1725601196289	613.6154144287109	86.3503189086914	50.491424560546875
sub-211_task-movie_bold	0.0008330857142857144	0.012243972628571428	0	34.0302031944253	1.1094144920689653	1.010212134137931	0.5748119333875563	1138.202880859375	0.11550152984398179	1	0.5714285714285714	2.2095877777777777	2.0112666666666668	2.4741833333333334	2.1433133333333334	0.00506458	0.024502117186784744	0.01474880799651146	175	70	70	37	5.545478972402682	2.0	3.0	3.0	3.0	0	27.880578278526617	7.040242671966553	22.22328758239746	11.337142944335938	94771.0	4.582857131958008	74.61428451538086	35.45729446411133	3.5739992574382287	60.185176849365234	397.62530517578125	397.91998291015625	49400.0	290.87169647216797	501.7217147827147	71.75502014160156	42.937870025634766
sub-212_task-movie_bold	0.0011868	0.024420070857142855	0	31.698039208218397	0.9995041018965518	0.9297998393103448	0.5420502835553852	1346.432373046875	0.1071845896958643	7	4.0	2.206578832376096	2.03602	2.45043	2.1332864971282883	0.00222381	-0.0009288780856877565	0.029848646372556686	175	70	70	37	5.030538358647546	2.0	3.0	3.0	3.000000238418579	0	48.01096704305046	5.057791709899902	14.975278854370117	8.94857120513916	100029.0	3.3999998569488525	41.03314361572251	21.46939468383789	2.3593566445855965	55.999996185302734	349.40728759765625	344.4742736816406	44521.0	249.54856872558594	460.9599914550781	68.4758529663086	32.407737731933594
sub-213_task-movie_bold	0.0006765142857142857	0.010315751257142857	0	28.989439547873566	1.0940308051724144	0.9986673249425291	0.508459909425942	2151.28759765625	0.046627044963618205	0	0.0	2.264018010062539	2.12325	2.47669	2.1921140301876165	0.00825293	0.0072629572823643684	0.01430848054587841	175	70	70	37	5.687961444532807	2.0	3.0	3.0	2.9999990463256836	0	105.08507965775156	4.752799034118652	14.557488441467285	8.75428581237793	105188.0	3.759999990463257	38.15599975585931	25.407283782958984	3.7232840274460797	61.536476135253906	422.5539245605469	423.49713134765625	40034.0	307.0874252319336	530.406005859375	74.45406341552734	48.89022445678711
sub-214_task-movie_bold	0.0006607428571428571	0.01773198514285714	0	30.61386934913793	1.0556099112643673	0.9675732571264374	0.5422468569586981	1389.5015869140625	0.0933610281411284	2	1.1428571428571428	2.2721033333333334	2.07905	2.53192	2.20534	0.00741162	0.006016266532242298	0.01752772554755211	175	70	70	37	5.551785312561938	2.0	3.0	3.0	3.0	0	33.752607793323975	7.938276767730713	24.82965660095215	13.75428581237793	101058.0	5.862856864929199	71.61399879455556	37.44574737548828	4.234909929416252	79.17095184326172	531.3865966796875	535.8914184570312	43961.0	388.6914367675781	666.78857421875	96.52486419677734	39.36329650878906
sub-215_task-movie_bold	0.0009371999999999999	0.0083250892	0	33.7704990652299	1.1526372655172417	1.0091029752873566	0.5446396918168042	1471.984619140625	0.13314722758878791	6	3.4285714285714284	2.134694333471563	1.9620966666666666	2.347443333333333	2.094543000414689	0.00534125	-0.007435508072376251	0.03383671119809151	175	70	70	37	4.778514313799414	2.0	3.0	3.0	3.000000476837158	0	79.06024539255161	6.8877458572387695	21.19441795349121	13.188570976257324	97734.0	6.194285869598389	57.3582862854003	30.654024124145508	2.4032681834381284	91.0953369140625	536.5809326171875	527.9285888671875	46808.0	387.08856811523435	721.4837097167969	110.47846984863281	49.0109977722168
sub-216_task-movie_bold	0.001017942857142857	0.010411385657142856	0	29.999189113908052	1.0874316788505747	0.9978238883333332	0.563865385178402	1240.74853515625	0.06412781608165179	0	0.0	2.1580278327018285	2.00126	2.39951	2.0733134981054864	0.00702826	0.0013337660348042846	0.038100890815258026	175	70	70	37	5.059722864512005	2.0	3.0	3.0	2.999999761581421	0	68.42200765741912	11.246597290039062	27.764352798461914	16.68857192993164	94582.0	5.348571300506592	78.78228836059567	38.43073272705078	2.4512686796066747	107.62837982177734	615.233154296875	615.3828735351562	49617.0	439.3668518066406	800.2754272460937	121.62260437011719	43.612998962402344
sub-217_task-movie_bold	0.0016858857142857142	0.01892735314285714	0	28.644932122011493	1.0096148922988508	0.9795292494827587	0.5269987560899609	1484.090087890625	0.1281011166215575	19	10.857142857142858	2.3044245640587113	2.1078733333333335	2.547756666666667	2.257643692176134	0.0233951	-9.404435331816785e-06	0.023678887635469437	175	70	70	37	5.530127648061991	2.0	3.0	3.0	2.999999523162842	1	42.39079081667961	7.091074466705322	21.698766708374023	13.45714282989502	103216.0	5.8971428871154785	62.418569564819336	29.097801208496094	4.679097849349753	74.98574829101562	533.736083984375	538.0114135742188	41852.0	385.1502883911133	668.94287109375	97.28617858886719	39.48272705078125
sub-218_task-movie_bold	0.006447257142857142	0.02194805028571429	0	35.12989263408043	1.12517137637931	1.0762286934482759	0.5570551656817916	1317.3917236328125	0.169807534759238	45	25.714285714285715	2.247601111111111	2.0801333333333334	2.4691433333333332	2.1935266666666666	0.026546	0.007596755400300026	0.029406296089291573	175	70	70	37	5.5195634528189705	2.0	3.0	3.0	3.0	2	50.864559842161974	6.49803352355957	19.94002342224121	11.479999542236328	97212.0	5.257143020629883	58.33971443176268	28.965381622314453	3.6599218325285694	65.56492614746094	432.74493408203125	433.2685546875	47146.0	320.14998626708984	545.6271209716797	78.49605560302734	33.77702713012695
sub-219_task-movie_bold	0.0016083333333333334	0.014671948850574715	1	29.074009504219653	1.0441445647976875	0.9938239327745662	0.5245261742766202	1454.11376953125	0.0747719234072595	9	5.172413793103448	2.278312512532279	2.1015433333333333	2.5416266666666667	2.191767537596837	0.0205011	0.004798663780093193	0.025182975456118584	174	70	70	37	4.9723154981607305	2.0	3.0	3.0	2.9999988079071045	0	38.82471375114006	9.986263275146484	27.44863510131836	15.61494255065918	104089.0	5.189655303955078	80.16666564941382	42.96952819824219	3.3045306234885494	101.21737670898438	613.9421997070312	619.5287475585938	41135.0	417.8511505126953	787.7764099121092	124.59410858154297	38.80230712890625
sub-220_task-movie_bold	0.0013725142857142858	0.011325222457142858	0	37.45379544385056	1.2006078608620687	1.0122789098850575	0.5710487200314813	1457.94970703125	0.09408868310581138	2	1.1428571428571428	2.1376411111111113	1.9263366666666668	2.333883333333333	2.152703333333333	0.00417818	-0.002000443870201707	0.04156126454472542	175	70	70	37	5.018376408531112	2.0	3.0	3.0	3.0	0	56.46173293241877	7.074130058288574	24.19379997253418	12.59999942779541	94457.0	5.194285869598389	86.45371551513668	39.756996154785156	2.465727404183845	86.43148803710938	505.3353271484375	500.35711669921875	50238.0	374.7828674316406	672.7057128906247	99.70398712158203	43.48759078979492
sub-221_task-movie_bold	0.0008187428571428571	0.017091125714285713	0	32.68958327425289	1.0653132402873564	0.9983319766091953	0.5305475903092501	1664.8226318359375	0.14406573490621383	20	11.428571428571429	2.256090356719399	2.0761366666666667	2.44785	2.2442844034915304	0.00657789	0.002941193524748087	0.026697680354118347	175	70	70	37	5.933747365514551	2.0	3.0	3.0	2.9999985694885254	1	51.291393272698606	6.574281215667725	23.525344848632812	12.29714298248291	103837.0	5.714285850524902	77.2914276123046	38.85614776611328	4.664309813906462	70.0	512.2276000976562	515.3713989257812	41806.0	384.13714599609375	635.3471527099609	86.8532485961914	41.84754180908203
sub-222_task-movie_bold	0.003690742857142857	0.03637910057142857	0	45.555111501379315	1.0617589654597697	0.9687058180459769	0.5564204102257554	1223.62109375	0.31550037191509006	123	70.28571428571429	2.182612222222222	1.99603	2.3835	2.1683066666666666	0.00623418	0.0035003633238375187	0.028607644140720367	175	70	70	37	5.226097433886084	2.0	3.0	3.0	3.0	0	40.25345107330838	6.0405449867248535	18.561391830444336	10.388571739196777	97990.0	4.480000019073486	56.7599983215332	28.12163543701172	3.345020039490233	59.460819244384766	376.8915710449219	377.894287109375	46700.0	268.32114257812503	483.7605804443359	72.30830383300781	29.189834594726562
sub-223_task-movie_bold	0.0009723428571428572	0.015160552857142857	0	29.9095419411494	1.092491997586207	0.9836411392528733	0.5271177608990492	1540.414306640625	0.06211769942055969	0	0.0	2.3805600000000005	2.167116666666667	2.7532300000000003	2.2213333333333334	0.00439743	-0.0011254368582740426	0.029583780094981194	175	70	70	37	5.627628294821113	2.0	3.0	3.0	3.0	0	46.45677289847244	8.480484962463379	23.03902244567871	15.085714340209961	102289.0	5.573714065551761	68.36685791015614	29.638797760009766	4.365771019579213	79.67503356933594	604.4583740234375	611.30859375	42378.0	418.38855743408203	753.754541015625	108.62504577636719	44.11540222167969
