session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5ef4bcaf170fdf0bcb3b978f,5eaab3ea851f4f017a73f288,APPROVED,2020-06-25 15:03:12.777000,2020-06-25 15:26:01.067000,1368.29,18,20,0,100,2020-06-25 15:29:02.179000,19A786C6,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes
5ef4be38f1f1220a9e1dcc93,5dac24ce634607001372d0d2,RETURNED,2020-06-25 15:16:21.085000,,62643.672912,23,76,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4c291503b5b0947142663,5ed96d809d0c93500acfc536,RETURNED,2020-06-25 15:28:37.072000,,61907.686,18,12,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4c438d4f9cb0a05202ba6,5e6284ad6e2f2c01e24c1cee,APPROVED,2020-06-25 15:35:39.690000,2020-06-25 16:10:52.636000,2112.946,23,53,0,100,2020-06-25 16:22:48.330000,19A786C6,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,Yes
5ef4ca0aed44d20c70457dac,5ea136ae50c77d13a487e671,RETURNED,2020-06-25 16:00:53.704000,,59971.075433,46,77,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4cad4126bfa0cf68697b3,5ef0f1326db55469e9d76825,APPROVED,2020-06-25 16:03:32.906000,2020-06-25 16:27:02.714000,1409.808,29,4,0,100,2020-06-25 16:31:55.932000,19A786C6,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
5ef4cd37dff5d40d3811aff8,5ef33d4931654f046965c67c,RETURNED,2020-06-25 16:13:43.350000,,59201.453755,25,5,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4d62282af3c0e613291f3,5edaca318f29cf7309ac2ed5,RETURNED,2020-06-25 16:51:48.894000,,56915.909834,19,8,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ef4d67b4b9fed0c5dff9602,5eededd6f8348723614fea2c,APPROVED,2020-06-25 16:53:51.035000,2020-06-25 17:22:44.356000,1733.321,24,8,0,100,2020-06-25 21:50:32.305000,19A786C6,United Kingdom,,Full-Time,English,United Kingdom,Female,No
5ef5abfaa3fa22000a52321f,5ea551c094a32d5228f95bf2,APPROVED,2020-06-26 08:04:10.192000,2020-06-26 08:38:33.165000,2062.973,37,68,1,100,2020-06-26 08:39:58.407000,19A786C6,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
